xvals,yvals,upper,lower,factor,group,period,first_year,last_year
6.5,0.842427150003072,1.94667155318966,-0.261817253183521,eci,No OPEC,1991 - 2016,1991,2016
6.6,0.803315065189786,1.8801774644121,-0.27354733403253,eci,No OPEC,1991 - 2016,1991,2016
6.7,0.764202980376445,1.8139260298509,-0.285520069098006,eci,No OPEC,1991 - 2016,1991,2016
6.8,0.725090895563084,1.74792076609141,-0.29773897496524,eci,No OPEC,1991 - 2016,1991,2016
6.9,0.68597881074965,1.68220258655725,-0.310244965057954,eci,No OPEC,1991 - 2016,1991,2016
7,0.646866725936318,1.61677763495587,-0.323044183083232,eci,No OPEC,1991 - 2016,1991,2016
7.1,0.607754641122891,1.55168313182137,-0.33617384957559,eci,No OPEC,1991 - 2016,1991,2016
7.2,0.568642556309515,1.48693188684207,-0.349646774223043,eci,No OPEC,1991 - 2016,1991,2016
7.3,0.529530471496271,1.42256578417494,-0.363504841182397,eci,No OPEC,1991 - 2016,1991,2016
7.4,0.49041838668275,1.35861937908261,-0.37778260571711,eci,No OPEC,1991 - 2016,1991,2016
7.5,0.451306301869359,1.29512359060259,-0.392510986863873,eci,No OPEC,1991 - 2016,1991,2016
7.6,0.412194217056199,1.23211360116105,-0.407725167048656,eci,No OPEC,1991 - 2016,1991,2016
7.7,0.373082132242667,1.16964812643945,-0.423483861954118,eci,No OPEC,1991 - 2016,1991,2016
7.8,0.333970047429258,1.10776520655648,-0.439825111697963,eci,No OPEC,1991 - 2016,1991,2016
7.9,0.29485796261587,1.04652027138356,-0.456804346151824,eci,No OPEC,1991 - 2016,1991,2016
8,0.255745877802557,0.985971250790101,-0.474479495184986,eci,No OPEC,1991 - 2016,1991,2016
8.1,0.216633792989183,0.926183621757901,-0.492916035779535,eci,No OPEC,1991 - 2016,1991,2016
8.2,0.177521708175968,0.867219339473186,-0.512175923121251,eci,No OPEC,1991 - 2016,1991,2016
8.3,0.138409623362417,0.809164762120533,-0.5323455153957,eci,No OPEC,1991 - 2016,1991,2016
8.4,0.0992975385490829,0.752085774319548,-0.553490697221382,eci,No OPEC,1991 - 2016,1991,2016
8.5,0.0601854537357039,0.696070462604598,-0.57569955513319,eci,No OPEC,1991 - 2016,1991,2016
